N,P,K,pH,temperature,humidity,rainfall,label
112.48357076505616,64.30867849414408,68.23844269050346,6.804605971281605,24.648769937914995,82.8293152152541,233.68819223261087,rice
113.83717364576455,62.65262807032524,67.71280021792982,6.4073164614375075,24.301405369644616,85.20981135783018,181.30079633013304,rice
101.37541083743484,62.188562353795135,59.93584439832788,6.562849466519054,23.637963886718182,76.93848149332354,231.98473153382332,rice
108.87111849756732,65.33764102343962,57.87625906893272,6.391123455094964,25.166383884564798,78.24503211288848,215.63547027518507,rice
106.99680655040598,63.54153125103362,61.991466938853016,6.870455636901788,24.979754162893098,78.71144535522049,222.33817368154783,rice
103.89578175014489,66.04431797502377,55.201649380601125,6.234362790220314,25.295291853803686,87.69233289997705,212.57052421784957,rice
109.4217585880588,63.494481522053555,57.60739004816286,6.356031158321058,24.30904184356032,89.28561113109458,215.15427434352694,rice
101.18479922318633,66.62041984697397,63.07458859791842,6.3646155999388085,25.917514433261303,89.15499761247976,223.96920178674299,rice
105.80391238388681,63.45393812074393,66.65631715701782,6.695109025424472,24.281238643232065,83.07170511668092,193.40497538990957,rice
104.01896687959665,69.06262911197099,71.78120014285412,6.485597975683933,26.505299346838036,85.80818012523817,200.32320368092314,rice
111.80697802754207,72.69018283232984,64.82086980445024,6.812928731162801,21.070382343865383,88.10951252187611,211.30570602357255,rice
108.50496324767066,65.45880388267751,55.06215542699554,6.456065622432497,25.53566885726762,91.38947022370758,202.22594672589528,rice
105.95753198553406,62.491214782077314,69.57701058851038,6.565750221931937,24.205359694349443,86.56633716556678,211.4561632402206,rice
114.84322495266444,61.48973453061324,63.36168926701116,6.421578369373568,22.80472757780182,85.48060138532288,213.91582908269834,rice
110.02556728321231,63.82706433312426,57.923146289747926,6.415870935446928,24.485928225209847,79.9886136538919,207.58071432500986,rice
112.02025428407269,74.43092950605265,65.8728890641592,6.5515100781445526,24.88833112635075,74.4061439235048,209.60229186826174,rice
110.30115104970513,77.31621056242643,64.03819517609439,6.5603094684667225,24.947932345442133,78.15660981190234,227.14234221772531,rice
113.75966516343387,68.95515973521523,60.4530627260263,6.7805588621872195,22.89722340581158,86.93428546900135,242.85683438714966,rice
105.04731837434656,62.16851135198614,65.4982568254382,6.39930486917676,22.674004853400803,84.34281487403014,194.06544429410843,rice
112.36796215317591,60.402878828830985,72.7496720250877,6.343349341532752,24.516907725691485,88.06758608684835,191.53703525349067,rice
111.13729967302065,71.53571377141213,56.96258382719386,6.536926771706461,25.389824191372636,87.90911435888655,191.44573933682878,rice
103.39771693457863,67.60970782808448,66.48492336616593,6.550098570069175,25.519672314245465,80.59987639210755,213.48380545741506,rice
111.46536236649341,61.42824290986816,74.32887255572378,6.5947665841823575,23.213044754196027,87.28276804316914,195.37977494659017,rice
113.93542301871226,70.79297789503703,60.89658840824145,6.692675225848864,25.619171390404748,88.11030079997245,238.4518947398092,rice
108.77305941998564,61.23131917821255,60.55242785187238,6.336837943006913,24.884347435878844,85.70575987408321,214.15036198995028,rice
114.13591624518011,65.06500945938953,72.26767038578659,6.4470686333524085,29.080253749884427,87.12833673882503,197.14263665375577,rice
104.64553750969444,67.41236207621593,63.88268607337075,6.642800098818419,25.709856436860317,83.63585543671563,197.29809422897392,rice
102.42576387657067,62.767425239664895,69.28199397161737,6.542818748826041,23.131391831932017,84.86590462925591,215.77976069593257,rice
105.58071281899433,65.76862552972764,65.29104359223,6.271405940433875,25.536681040522424,86.80392263184117,226.24576864762915,rice
115.26901026017451,58.111653160214544,60.310874800424386,6.603007053441732,25.770678926368312,86.57523843153024,267.79097235982084,rice
112.85445255346583,70.677828200903,69.770008817466,6.63027825026116,24.527096133039482,87.79484610246634,198.40762178193643,rice
108.81590696629996,62.57318226085448,65.40937069693162,6.962931713334702,22.19910221111238,87.43130095187257,185.8092619321552,rice
107.64034067105283,70.44475298483682,65.32140009547732,6.284451044414139,23.927044436110048,87.39798874467338,199.04450052424295,rice
111.08229294790988,65.22785919951907,61.74199826197091,6.928788817865065,25.950878533477017,73.87428706671196,212.7968147215414,rice
